QuestionText,Category,Answer
أيهما أفضل الدراسة في السابق أم في الوقت الحالي؟,التعليم,الدراسة في الوقت الحالي تعتبر أفضل بسبب توفر التكنولوجيا والموارد التعليمية الحديثة.
أليس القطن عماد الثروة في مصر؟,الاقتصاد والعمل,"القطن يعتبر من أهم المنتجات الزراعية في مصر، ويعد من الأعمدة الرئيسية للاقتصاد المصري."
أتصعد الشمس من الشرق؟,التعليم,الشمس تصعد من الشرق.
أتعرف البكتيريا بأنها كائنات حية دقيقة؟,التعليم,البكتيريا تُعرف بأنها كائنات حية دقيقة.
أيتكون الهواء أساساً من النيتروجين؟,التعليم,الهواء يتكون أساساً من النيتروجين.
أيفرز البنكرياس الأنسولين؟,الصحة,يفرز البنكرياس الأنسولين.
أيتكون الماء من الهيدروجين والأوكسجين؟,التعليم,الماء يتكون من الهيدروجين والأوكسجين.
أيوجد فيتامين سي في البرتقال؟,الصحة,فيتامين سي يوجد في البرتقال.
أيتنفس السمك باستخدام الخياشيم؟,التعليم,يتنفس السمك باستخدام الخياشيم.
أيمكن للنباتات أن تقوم بعملية البناء الضوئي؟,التعليم,يمكن للنباتات أن تقوم بعملية البناء الضوئي.
أيتكون الذهب من عنصر واحد؟,التعليم,يتكون الذهب من عنصر واحد.
أيتكون الخشب من ألياف نباتية؟,التعليم,يتكون الخشب من ألياف نباتية.
أيتغذى الأسد على اللحوم؟,التعليم,يتغذى الأسد على اللحوم.
أيتكون الدم من خلايا حمراء وبيضاء؟,الصحة,يتكون الدم من خلايا حمراء وبيضاء.
أيتغذى النحل على رحيق الأزهار؟,التعليم,يتغذى النحل على رحيق الأزهار.
أيتكون اللبن من بروتينات ودهون؟,التعليم,يتكون اللبن من بروتينات ودهون.
أيمكن للحشرات أن تطير؟,التعليم,يمكن للحشرات أن تطير.
أيتغذى الدب القطبي على اللحوم؟,التعليم,يتغذى الدب القطبي على اللحوم.
أيتكون الزيت من دهون نباتية؟,التعليم,يتكون الزيت من دهون نباتية.
أيتكون السكر من جزيئات كربون وأوكسجين؟,التعليم,يتكون السكر من جزيئات كربون وأوكسجين.
أيتكون الحجر الجيري من كربونات الكالسيوم؟,التعليم,يتكون الحجر الجيري من كربونات الكالسيوم.
أيتغذى الفيل على النباتات؟,التعليم,يتغذى الفيل على النباتات.
أيتكون الهواء من خليط من الغازات؟,التعليم,يتكون الهواء من خليط من الغازات.
أيمكن للنمل أن يرفع أوزاناً تفوق وزنه؟,التعليم,يمكن للنمل أن يرفع أوزاناً تفوق وزنه.
أيتكون الزجاج من رمل السيليكا؟,التعليم,يتكون الزجاج من رمل السيليكا.
أيتطلب الحاسوب وجود تيار كهربائي؟,التكنولوجيا,يتطلب الحاسوب وجود تيار كهربائي.
أيمكن للطيور أن تعيش في الماء؟,التعليم,معظم الطيور لا يمكنها أن تعيش في الماء.
أيتغذى الحوت على الكائنات البحرية الصغيرة؟,التعليم,يتغذى الحوت على الكائنات البحرية الصغيرة.
أيمكن للإنسان أن يعيش بدون قلب؟,الصحة,لا يمكن للإنسان أن يعيش بدون قلب.
أيتغير لون أوراق الأشجار في الخريف؟,التعليم,يتغير لون أوراق الأشجار في الخريف.
أيمكن للضوء أن ينكسر عند مروره خلال الماء؟,التعليم,يمكن للضوء أن ينكسر عند مروره خلال الماء.
أيتكون الجليد عند درجات حرارة منخفضة؟,التعليم,يتكون الجليد عند درجات حرارة منخفضة.
أيتحكم الدماغ في جميع وظائف الجسم؟,التعليم,يتحكم الدماغ في جميع وظائف الجسم.
أيمكن للإنسان أن يسمع الأصوات من جميع الاتجاهات؟,الصحة,يمكن للإنسان أن يسمع الأصوات من جميع الاتجاهات.
أيوجد الماء في حالات صلبة وسائلة وغازية؟,التعليم,يوجد الماء في حالات صلبة وسائلة وغازية.
أيمكن للإنسان أن يشعر بالحرارة والبرودة؟,الصحة,يمكن للإنسان أن يشعر بالحرارة والبرودة.
أيتكون الرمل من جزيئات صغيرة من الصخور؟,التعليم,يتكون الرمل من جزيئات صغيرة من الصخور.
أيتطلب النمو السليم للنباتات وجود ضوء الشمس؟,التعليم,يتطلب النمو السليم للنباتات وجود ضوء الشمس.
أيمكن للإنسان أن يرى في الظلام؟,التعليم,لا يمكن للإنسان أن يرى في الظلام.
أيمكن للإنسان أن يعيش على سطح القمر؟,التعليم,لا يمكن للإنسان أن يعيش على سطح القمر بدون معدات خاصة.
أيتكون الفحم من بقايا نباتية؟,التعليم,يتكون الفحم من بقايا نباتية.
أيتغير لون السماء حسب الوقت من اليوم؟,التعليم,يتغير لون السماء حسب الوقت من اليوم.
أيتحرك الهواء من مناطق الضغط العالي إلى المنخفض؟,التعليم,يتحرك الهواء من مناطق الضغط العالي إلى المنخفض.
أيتطلب التنفس وجود الأوكسجين؟,الصحة,يتطلب التنفس وجود الأوكسجين.
أيمكن للنباتات أن تنمو بدون ماء؟,التعليم,لا يمكن للنباتات أن تنمو بدون ماء.
أيتغير لون البشرة بالتعرض للشمس؟,الصحة,يتغير لون البشرة بالتعرض للشمس.
أيتطلب التبخر وجود حرارة؟,التعليم,يتطلب التبخر وجود حرارة.
أيمكن للإنسان أن يعيش بدون نوم؟,الصحة,لا يمكن للإنسان أن يعيش بدون نوم لفترة طويلة.
أيتغير لون السمك مع تغير البيئة؟,التعليم,يتغير لون السمك مع تغير البيئة.
أيتطلب النمو السليم للإنسان وجود غذاء متوازن؟,الصحة,يتطلب النمو السليم للإنسان وجود غذاء متوازن.
أيتغير لون الثلج مع التلوث؟,البيئة والطاقة,يمكن أن يتغير لون الثلج مع التلوث.
أيمكن للإنسان أن يرى الأشياء بواسطة العيون؟,الصحة,يمكن للإنسان أن يرى الأشياء بواسطة العيون.
هل سيدنا محمد (صلى الله عليه و سلم) هو أول المسلمين؟,الدين,"نعم، سيدنا محمد (صلى الله عليه و سلم) يعتبر أول المسلمين."
هل يؤثم الحاكم الذي لا يحكم بما أنزل الله وشرّع؟,الدين,"نعم، يؤثم الحاكم الذي لا يحكم بما أنزل الله وشرّع."
هل الماء يتجمد عند درجة حرارة صفر مئوية؟,التعليم,الماء يتجمد عند درجة حرارة صفر مئوية.
هل الشمس هي أقرب نجم إلى الأرض؟,التعليم,الشمس هي أقرب نجم إلى الأرض.
"هل نجيب محفوظ هو مؤلف رواية ""الأيام""؟",الثقافة,"طه حسين هو مؤلف رواية ""الأيام""."
هل الزرافة هي أطول حيوان بري؟,التعليم,الزرافة هي أطول حيوان بري.
هل تعد اللغة الصينية من اللغات السامية؟,الثقافة,اللغة الصينية ليست من اللغات السامية.
